GA000942S014b,
GA000942S014,
GA000942E035,GA00094232
GA000942E021,GA00094220
GA000942E029,GA00094228
GA000942W002,GA00094254
GA000942GA000942BAD2647847,
GA000942E001,GA0009423
GA000942E057,GA0009421
GA000942E020,GA00094219
GA000942S008,
GA000942IRE,GA00094258
GA000942W003,GA00094255
GA000942E040,GA00094237
GA000942E025,GA00094224
GA000942E003,GA0009425
GA000942E037,GA00094234
GA000942E004,GA0009426
GA000942S015,GA00094244
GA000942E026,GA00094225
GA000942E002,GA0009424
GA000942S017,
GA000942S009,GA00094245
GA000942S011,
GA000942E009,GA00094211
GA000942E032,GA0009422
GA000942E014,GA00094242
GA000942E008,GA00094210
GA000942E010,GA00094212
GA000942E016,GA00094216
GA000942S003,GA00094246
GA000942S007b,GA00094247
GA000942MAN,
GA000942E006,GA0009428
GA000942E013,GA00094214
GA000942E030,GA00094241
GA000942E022,GA00094221
GA000942E038,GA00094235
GA000942GA000942BAD2647857,GA00094229
GA000942S005,
GA000942E019,GA00094218
GA000942E039,GA00094236
GA000942E041,
GA000942S004,GA00094248
GA000942S012a,
GA000942E044,GA00094240
GA000942EXCL1,
GA000942EXCL2,
GA000942E024,GA00094223
GA000942S002,GA00094250
GA000942S006,
GA000942E036,GA00094233
GA000942E034,GA00094231
GA000942S001,GA00094251
GA000942E028,GA00094227
GA000942S003b,
GA000942E005,GA0009427
GA000942W004,GA00094256
GA000942S012b,
GA000942E027,GA00094226
GA000942E018,GA00094217
GA000942E015,GA00094215
GA000942E042,GA00094239
GA000942E012,GA00094243
GA000942S013,GA00094252
GA000942E023,GA00094222
GA000942W001,GA00094257
GA000942E033,GA00094230
GA000942E007,GA0009429
GA000942E011,GA00094213