GA00094232,Barnsley Biological Records Centre
GA00094220,Bedfordshire and Luton Biodiversity Recording and Monitoring Centre
GA00094228,"RECORD - Biodiversity Information Centre for Cheshire, Halton, Warrington & Wirral."
GA00094254,Biodiversity Information Service for Powys and Brecon Beacons National Park
GA0009423,Bristol Regional Environmental Records Centre
GA0009421,Buckinghamshire & Milton Keynes Environmental Records Centre
GA00094219,Cambridgeshire and Peterborough Environmental Records Centre
GA00094258,Centre for Environmental Data and Recording
GA00094255,Cofnod - North Wales Environmental Information Service
GA00094237,Cumbria Biodiversity Data Centre
GA00094224,Derbyshire Biological Records Centre
GA0009425,Devon Biodiversity Records Centre
GA00094234,Doncaster Biological Records Centre
GA0009426,Dorset Environmental Records Centre
GA00094244,Dumfries and Galloway Environmental Resources Centre
GA00094225,EcoRecord
GA00094238,Environmental Records Information Centre North East
GA0009424,ERC for Cornwall and the Isles of Scilly
GA00094245,Fife Nature Records Centre
GA00094211,Gloucestershire Centre for Environmental Records
GA0009422,Greater Manchester Local Record Centre
GA00094242,Greenspace Information for Greater London
GA00094210,Hampshire Biodiversity Information Centre
GA00094212,Herefordshire Biological Records Centre
GA00094216,Herts Environmental Records Centre
GA00094246,Highland Biological Recording Group
GA00094247,Islay Natural History Centre
GA0009428,Isle of Wight Local Records Centre
GA00094214,Kent and Medway Biological Records Centre
GA00094241,Lancashire Environmental Records Network
GA00094221,Leicestershire and Rutland Environmental Records Centre
GA00094235,Lincolnshire Environmental Records Centre
GA00094253,Lorn Natural History Group
GA00094229,Merseyside BioBank
GA00094218,Norfolk Biodiversity Information Service
GA00094236,North & East Yorkshire Ecological Data Centre
GA00094248,North East Scotland Biological Records Centre
GA00094240,Northamptonshire Biodiversity Records Centre
GA00094223,Nottinghamshire Biological and Geological Records Centre
GA00094250,Orkney Wildlife Information and Records Centre
GA00094249,Outer Hebrides Biological Recording
GA00094233,Rotherham BRC
GA00094231,Sheffield Biological Records Centre
GA00094251,Shetland Biological Records Centre
GA00094227,Shropshire Ecological Data Network
GA0009427,Somerset Environmental Records Centre
GA00094256,South East Wales Biodiversity Records Centre
GA00094226,Staffordshire Ecological Record
GA00094217,Suffolk Biological Records Centre
GA00094215,Surrey Biodiversity Information Centre
GA00094239,Sussex Biodiversity Record Centre
GA00094243,Thames Valley Environmental Records Centre
GA00094252,The Wildlife Information Centre
GA00094222,Warwickshire Biologcal Record Centre
GA00094257,West Wales Biodiversity Information Centre
GA00094230,West Yorkshire Ecology
GA0009429,Wiltshire & Swindon Biological Records Centre
GA00094213,Worcestershire Biological Records Centre