GA000942S014b,Arran Biological Records Centre
GA000942S014,Ayrshire Biological Records Centre
GA000942E035,Barnsley Biological Records Centre
GA000942E021,Bedfordshire and Luton Biodiversity Recording and Monitoring Centre
GA000942E029,"Biodiversity Information Centre for Cheshire, Halton, Warrington & Wirral"
GA000942W002,Biodiversity Information Service for Powys and Brecon Beacons National Park
GA000942GA000942BAD2647847,Biological Records In Essex
GA000942E001,Bristol Regional Environmental Records Centre
GA000942E057,Buckinghamshire and Milton Keynes ERC
GA000942E020,Cambridgeshire and Peterborough Biological Records Centre
GA000942S008,Central Scotland Wildlife Information Service
GA000942IRE,Centre for Environmental Data and Recording
GA000942W003,Cofnod - North Wales Environmental Information Service
GA000942E040,Cumbria Biodiversity Data Centre
GA000942E025,Derbyshire Biological Records Centre
GA000942E003,Devon Biodiversity Records Centre
GA000942E037,Doncaster Biological Records Centre
GA000942E004,Dorset Environmental Records Centre
GA000942S015,Dumfries and Galloway Environmental Resources Centre
GA000942E026,EcoRecord
GA000942E002,Environmental Records Centre for Cornwall and the Isles of Scilly
GA000942S017,Falkirk Museum
GA000942S009,Fife Nature Records Centre
GA000942S011,Glasgow Museum Biological Records Centre
GA000942E009,Gloucestershire Centre for Environmental Records
GA000942E032,Greater Manchester Ecology Unit
GA000942E014,Greenspace Information for Greater London
GA000942E008,Hampshire Biodiversity Information Centre
GA000942E010,Herefordshire Biological Records Centre
GA000942E016,Hertfordshire Biological Records Centre
GA000942S003,Highland Biological Recording Group
GA000942S007b,Islay Natural History Trust Wildlife Information Centre
GA000942MAN,Isle of Man Biological Records Centre
GA000942E006,Isle of Wight Local Records Centre
GA000942E013,Kent and Medway Biological Records Centre
GA000942E030,Lancashire Biological Records Centre
GA000942E022,Leicestershire and Rutland Environmental Records Centre
GA000942E038,Lincolnshire Environmental Records Centre
GA000942GA000942BAD2647857,Merseyside BioBank
GA000942S005,Naturebase (Dundee Museum)
GA000942E019,Norfolk Biological Records Centre
GA000942E039,North & East Yorkshire Ecological Data Centre
GA000942E041,North East Environmental Records Information Centre
GA000942S004,North East Scotland Biological Records Centre
GA000942S012a,North Lanarkshire Biological Records Centre
GA000942E044,Northamptonshire Biodiversity Records Centre
GA000942EXCL1,Not covered by an LRC
GA000942EXCL2,Not covered by an LRC
GA000942E024,Nottinghamshire Biological and Geological Records Centre
GA000942S002,Orkney Biological Records Centre
GA000942S006,Perth Museum Biological Records Centre
GA000942E036,Rotherham Biological Records Centre
GA000942E034,Sheffield Biological Records Centre
GA000942S001,Shetland Biological Records Centre
GA000942E028,Shropshire Wildlife Trust
GA000942S003b,Skye Environmental Centre
GA000942E005,Somerset Environmental Records Centre
GA000942W004,South East Wales Biodiversity Records Centre
GA000942S012b,South Lanarkshire Council
GA000942E027,Staffordshire Ecological Record
GA000942E018,Suffolk Biological Records Centre
GA000942E015,Surrey Biological Records Centre
GA000942E042,Sussex Biodiversity Record Centre
GA000942E012,Thames Valley Environmental Records Centre
GA000942S013,The Wildlife Information Centre for the Lothians and the Borders
GA000942E023,Warwickshire BRC
GA000942W001,West Wales Biodiversity Information Centre
GA000942E033,West Yorkshire Ecology
GA000942E007,Wiltshire & Swindon Biological Records Centre
GA000942E011,Worcestershire Biological Records Centre